name	taxonomy_id	taxonomy_lvl	SRR8146968_num	SRR8146968_frac	SRR8146978_num	SRR8146978_frac	SRR8146982_num	SRR8146982_frac	SRR8146938_num	SRR8146938_frac	SRR8146935_num	SRR8146935_frac	SRR8146936_num	SRR8146936_frac
Pseudoalteromonas viridis	339617	S	107	0.00001	0	0.00000	30	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudoalteromonas rubra	43658	S	14	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudoalteromonas aliena	247523	S	18	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thalassomonas haliotis	485448	S	39	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	16	0.00000
Idiomarina loihiensis	135577	S	123	0.00001	31	0.00000	74	0.00001	0	0.00000	0	0.00000	0	0.00000
Ferrimonas balearica	44012	S	53	0.00000	0	0.00000	24	0.00000	0	0.00000	0	0.00000	0	0.00000
Ferrimonas sp. YFM	3028878	S	28	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	10	0.00000
Ferrimonas sp. SCSIO 43195	2822844	S	11	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychromonas ingrahamii	357794	S	30	0.00000	31	0.00000	25	0.00000	0	0.00000	0	0.00000	15	0.00000
Psychromonas sp. MME1	3231032	S	15	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychromonas sp. KJ10-10	3391823	S	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thioalkalivibrio sulfidiphilus	1033854	S	390	0.00002	0	0.00000	36	0.00000	0	0.00000	0	0.00000	0	0.00000
Thioalkalivibrio sp. K90mix	396595	S	31	0.00000	0	0.00000	0	0.00000	13	0.00000	14	0.00000	0	0.00000
Thioalkalivibrio versutus	106634	S	16	0.00000	0	0.00000	33	0.00000	0	0.00000	0	0.00000	0	0.00000
Ectothiorhodospira shaposhnikovii	1054	S	16	0.00000	99	0.00000	69	0.00000	0	0.00000	0	0.00000	0	0.00000
Ectothiorhodospira sp. BSL-9	1442136	S	14	0.00000	0	0.00000	25	0.00000	0	0.00000	0	0.00000	18	0.00000
Alkalilimnicola ehrlichii	351052	S	21	0.00000	0	0.00000	32	0.00000	0	0.00000	0	0.00000	0	0.00000
Spiribacter roseus	1855875	S	15	0.00000	0	0.00000	37	0.00000	33	0.00000	0	0.00000	0	0.00000
Thioflavicoccus mobilis	80679	S	152	0.00001	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000
Rheinheimera mangrovi	2498451	S	28	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thiocapsa bogorovii	521689	S	18	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	64	0.00000
Allochromatium vinosum	1049	S	28	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	60	0.00000
Thiorhodovibrio frisius	631362	S	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thiosocius teredinicola	1973002	S	17	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000
Magnetovirga frankeli	947516	S	18	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sedimenticola thiotaurini	1543721	S	10	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	11	0.00000
Wenzhouxiangella marina	1579979	S	36	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000
Halothiobacillus neapolitanus	927	S	15	0.00000	0	0.00000	28	0.00000	0	0.00000	0	0.00000	0	0.00000
Sulfuriflexus mobilis	1811807	S	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	30	0.00000
Guyparkeria halophila	47960	S	15	0.00000	0	0.00000	79	0.00001	0	0.00000	0	0.00000	0	0.00000
Vibrio sp. MA40-2	3391828	S	13	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio sp. J383	2942997	S	53	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio penaeicida	104609	S	75	0.00000	0	0.00000	36	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio azureus	512649	S	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio campbellii	680	S	31	0.00000	0	0.00000	82	0.00001	0	0.00000	0	0.00000	0	0.00000
Vibrio splendidus	29497	S	66	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio mimicus	674	S	30	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio quintilis	1117707	S	22	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	10	0.00000
Vibrio cincinnatiensis	675	S	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00000
Vibrio gazogenes	687	S	14	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	10	0.00000
Vibrio mangrovi	474394	S	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Photobacterium damselae	38293	S	71	0.00000	0	0.00000	17	0.00000	0	0.00000	22	0.00000	21	0.00000
Photobacterium sp. CCB-ST2H9	2912855	S	17	0.00000	0	0.00000	0	0.00000	0	0.00000	356	0.00002	112	0.00001
Photobacterium profundum	74109	S	22	0.00000	0	0.00000	23	0.00000	0	0.00000	0	0.00000	0	0.00000
Photobacterium atrarenae	865757	S	21	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Parasalinivibrio latis	2952610	S	18	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterovibrio sp. 27052020O	3241166	S	10	0.00000	0	0.00000	20	0.00000	0	0.00000	0	0.00000	0	0.00000
Grimontia kaedaensis	2872157	S	12	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000	64	0.00000
Acinetobacter sp. WZC-1	3459034	S	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acinetobacter sp. 10FS3-1	2563897	S	57	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acinetobacter lwoffii	28090	S	282	0.00002	279	0.00001	29	0.00000	0	0.00000	16	0.00000	0	0.00000
Acinetobacter johnsonii	40214	S	73	0.00000	35	0.00000	0	0.00000	0	0.00000	154	0.00001	30	0.00000
Acinetobacter towneri	202956	S	59	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acinetobacter indicus	756892	S	20	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. P11G3	1699623	S	52	0.00000	0	0.00000	30	0.00000	0	0.00000	0	0.00000	0	0.00000
Faucicola osloensis	34062	S	89	0.00001	85	0.00000	0	0.00000	0	0.00000	18	0.00000	42	0.00000
Moraxella bovoculi	386891	S	20	0.00000	0	0.00000	119	0.00001	0	0.00000	0	0.00000	0	0.00000
Moraxella veridica	3344666	S	20	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Microbulbifer sp. ARAS458-1	3140242	S	79	0.00000	0	0.00000	29	0.00000	13	0.00000	0	0.00000	0	0.00000
Cellvibrio sp. KY-GH-1	2303332	S	31	0.00000	0	0.00000	14	0.00000	0	0.00000	10	0.00000	0	0.00000
Cellvibrio sp. PSBB006	1987723	S	18	0.00000	0	0.00000	38	0.00000	0	0.00000	0	0.00000	0	0.00000
Cellvibrio japonicus	155077	S	29	0.00000	0	0.00000	23	0.00000	16	0.00000	0	0.00000	61	0.00000
Teredinibacter sp. KSP-S5-2	3034506	S	14	0.00000	0	0.00000	22	0.00000	0	0.00000	0	0.00000	0	0.00000
Kineobactrum salinum	2708301	S	29	0.00000	0	0.00000	58	0.00000	0	0.00000	0	0.00000	0	0.00000
Halioglobus japonicus	930805	S	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Spongiibacter nanhainus	2794344	S	22	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000
Methylomonas sp. MED-D	3418768	S	59	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylococcus geothermalis	2681310	S	13	0.00000	0	0.00000	26	0.00000	80	0.00000	0	0.00000	0	0.00000
Methylomicrobium lacus	136992	S	18	0.00000	462	0.00002	0	0.00000	36	0.00000	10	0.00000	0	0.00000
Methylogaea oryzae	1295382	S	11	0.00000	0	0.00000	21	0.00000	10	0.00000	0	0.00000	0	0.00000
Candidatus Methylocalor cossyra	3108543	S	10	0.00000	0	0.00000	11	0.00000	0	0.00000	0	0.00000	29	0.00000
Allofrancisella frigidaquae	1085644	S	109	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thiomicrorhabdus xiamenensis	2739063	S	33	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thiomicrorhabdus lithotrophica	2949997	S	13	0.00000	0	0.00000	21	0.00000	0	0.00000	0	0.00000	0	0.00000
Cardiobacterium hominis	2718	S	79	0.00000	154	0.00001	76	0.00001	0	0.00000	11	0.00000	129	0.00001
Cardiobacterium sp. Marseille-Q4385	2866573	S	18	0.00000	74	0.00000	13	0.00000	12	0.00000	0	0.00000	14	0.00000
Wohlfahrtiimonas chitiniclastica	400946	S	39	0.00000	0	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000
Legionella oakridgensis	29423	S	30	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Legionella pneumophila	446	S	13	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000
Legionella jordanis	456	S	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Coxiella-like endosymbiont	1592897	S	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acidiferrobacter thiooxydans	163359	S	76	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acidiferrobacter sp. SPIII_3	1281578	S	18	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000
Solimonas sp. K1W22B-7	2303331	S	40	0.00000	0	0.00000	47	0.00000	51	0.00000	18	0.00000	0	0.00000
Nevskia ramosa	64002	S	24	0.00000	0	0.00000	18	0.00000	0	0.00000	0	0.00000	0	0.00000
Hydrocarboniphaga sp.	2033016	S	13	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00000
Thiohalobacter sp. COW1	2795687	S	58	0.00000	0	0.00000	0	0.00000	52	0.00000	12	0.00000	0	0.00000
Thiohalobacter sp. IOR34	3057176	S	23	0.00000	0	0.00000	99	0.00001	0	0.00000	0	0.00000	16	0.00000
Immundisolibacter cernigliae	1810504	S	82	0.00000	0	0.00000	77	0.00001	97	0.00000	0	0.00000	0	0.00000
Gilliamella apis	1970738	S	28	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	16	0.00000
Utexia brackfieldae	3074108	S	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000
Candidatus Vondammii sp. HM_W22	2687299	S	23	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Salinisphaera sp. LB1	2183911	S	13	0.00000	0	0.00000	22	0.00000	10	0.00000	0	0.00000	0	0.00000
Kangiella sediminilitoris	1144748	S	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sulfurivermis fontis	1972068	S	31	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sp. CCBAU 53421	1325120	S	1387	0.00008	241	0.00001	48	0.00000	37	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sp. Ash2021	2954771	S	143	0.00001	426	0.00002	123	0.00001	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium genosp. P	83641	S	33	0.00000	0	0.00000	27	0.00000	20	0.00000	0	0.00000	12	0.00000
Bradyrhizobium sp. 186	2782654	S	36	0.00000	53	0.00000	40	0.00000	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sp. STM 3557	578920	S	21	0.00000	0	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sp. CIAT3101	439387	S	29	0.00000	0	0.00000	88	0.00001	0	0.00000	0	0.00000	19	0.00000
Bradyrhizobium genosp. L	83637	S	26	0.00000	0	0.00000	56	0.00000	0	0.00000	34	0.00000	0	0.00000
Bradyrhizobium sp. NDS-1	3080014	S	30	0.00000	0	0.00000	32	0.00000	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sp. PUT101	3447427	S	38	0.00000	0	0.00000	52	0.00000	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sp. 172	2782643	S	532	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sp. 195	2782662	S	22	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium yuanmingense	108015	S	341	0.00002	0	0.00000	221	0.00002	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium cosmicum	1404864	S	100	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sediminis	2840469	S	25	0.00000	0	0.00000	54	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodopseudomonas palustris	1076	S	147	0.00001	0	0.00000	157	0.00001	95	0.00000	45	0.00000	55	0.00000
Rhodopseudomonas sp. P1	3434357	S	100	0.00001	0	0.00000	55	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodopseudomonas sp. BAL398	3034676	S	18	0.00000	187	0.00001	31	0.00000	0	0.00000	114	0.00001	69	0.00000
Tardiphaga sp. 709	3076039	S	45	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000
Tardiphaga sp. 866_E4_N1_4	3240766	S	55	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Nitrobacter sp. JJSN	3453033	S	12	0.00000	16	0.00000	22	0.00000	0	0.00000	0	0.00000	14	0.00000
Rugositalea oryzae	674703	S	13	0.00000	0	0.00000	39	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhizobium leguminosarum	384	S	443	0.00003	125	0.00001	673	0.00005	28	0.00000	146	0.00001	88	0.00000
Rhizobium sp. CB3090	3039156	S	55	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhizobium sp. SL42	2806346	S	21	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhizobium rhizoryzae	451876	S	50	0.00000	0	0.00000	15	0.00000	57	0.00000	0	0.00000	0	0.00000
Rhizobium ruizarguesonis	2081791	S	35	0.00000	0	0.00000	0	0.00000	41	0.00000	38	0.00000	0	0.00000
Rhizobium rhizogenes	359	S	55	0.00000	92	0.00000	240	0.00002	0	0.00000	0	0.00000	0	0.00000
Rhizobium lusitanum	293958	S	24	0.00000	0	0.00000	28	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhizobium binae	1138190	S	30	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhizobium jaguaris	1312183	S	24	0.00000	0	0.00000	37	0.00000	0	0.00000	12	0.00000	0	0.00000
Rhizobium daejeonense	240521	S	24	0.00000	0	0.00000	34	0.00000	107	0.00000	30	0.00000	0	0.00000
Rhizobium indicum	2583231	S	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Agrobacterium tumefaciens	358	S	398	0.00002	167	0.00001	386	0.00003	173	0.00001	254	0.00001	214	0.00001
Agrobacterium rosae	1972867	S	139	0.00001	0	0.00000	132	0.00001	0	0.00000	0	0.00000	0	0.00000
Agrobacterium sp. T29	2580515	S	69	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Agrobacterium pusense	648995	S	134	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Agrobacterium vaccinii	2735528	S	23	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Agrobacterium leguminum	2792015	S	38	0.00000	0	0.00000	42	0.00000	261	0.00001	0	0.00000	86	0.00000
Agrobacterium vitis	373	S	17	0.00000	0	0.00000	79	0.00001	29	0.00000	0	0.00000	31	0.00000
Neorhizobium galegae	399	S	30	0.00000	0	0.00000	55	0.00000	0	0.00000	0	0.00000	27	0.00000
Neorhizobium sp. CSC1952	2978974	S	18	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000
Neorhizobium petrolearium	515361	S	19	0.00000	0	0.00000	38	0.00000	30	0.00000	0	0.00000	22	0.00000
Allorhizobium pseudoryzae	379684	S	73	0.00000	0	0.00000	47	0.00000	37	0.00000	0	0.00000	0	0.00000
Pararhizobium sp. A13	3133975	S	17	0.00000	0	0.00000	0	0.00000	21	0.00000	46	0.00000	287	0.00001
Ensifer canadensis	555315	S	208	0.00001	0	0.00000	143	0.00001	0	0.00000	0	0.00000	0	0.00000
Ensifer adhaerens	106592	S	51	0.00000	0	0.00000	60	0.00000	17	0.00000	25	0.00000	14	0.00000
Ensifer sp. WSM1721	1041159	S	34	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sinorhizobium mexicanum	375549	S	122	0.00001	0	0.00000	13	0.00000	274	0.00001	13	0.00000	0	0.00000
Sinorhizobium sp. BG8	2613773	S	22	0.00000	0	0.00000	26	0.00000	17	0.00000	0	0.00000	0	0.00000
Sinorhizobium medicae	110321	S	27	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sinorhizobium meliloti	382	S	30	0.00000	0	0.00000	133	0.00001	0	0.00000	518	0.00002	0	0.00000
Sinorhizobium fredii	380	S	23	0.00000	0	0.00000	47	0.00000	45	0.00000	28	0.00000	31	0.00000
Sinorhizobium terangae	110322	S	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Shinella zoogloeoides	352475	S	810	0.00005	0	0.00000	573	0.00004	135	0.00001	61	0.00000	78	0.00000
Ciceribacter thiooxidans	1969821	S	249	0.00001	39	0.00000	81	0.00001	0	0.00000	0	0.00000	0	0.00000
Peteryoungia desertarenae	1813451	S	40	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Georhizobium profundi	2341112	S	23	0.00000	0	0.00000	48	0.00000	25	0.00000	0	0.00000	0	0.00000
Terrirhizobium terrae	2926709	S	16	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	155	0.00001	0	0.00000	50	0.00000	37	0.00000	0	0.00000	0	0.00000
Mesorhizobium sp. INR15	2654248	S	50	0.00000	0	0.00000	59	0.00000	0	0.00000	0	0.00000	0	0.00000
Mesorhizobium sp. B4-1-4	2589888	S	59	0.00000	0	0.00000	23	0.00000	17	0.00000	26	0.00000	39	0.00000
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	87	0.00001	19	0.00000	0	0.00000	18	0.00000	24	0.00000	0	0.00000
Mesorhizobium sp. B1-1-8	2589976	S	39	0.00000	0	0.00000	49	0.00000	0	0.00000	0	0.00000	20	0.00000
Mesorhizobium sp. 113-3-3	2744516	S	99	0.00001	0	0.00000	33	0.00000	0	0.00000	0	0.00000	0	0.00000
Mesorhizobium sp. AaZ16	3402289	S	15	0.00000	0	0.00000	42	0.00000	0	0.00000	0	0.00000	0	0.00000
Mesorhizobium sp. PAMC28654	2880934	S	18	0.00000	0	0.00000	21	0.00000	0	0.00000	0	0.00000	0	0.00000
Mesorhizobium amorphae	71433	S	67	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aminobacter sp. UC22_36	3374549	S	56	0.00000	0	0.00000	0	0.00000	186	0.00001	0	0.00000	31	0.00000
Aminobacter sp. SR38	2774562	S	266	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Phyllobacterium sp. 628	2718938	S	60	0.00000	0	0.00000	135	0.00001	0	0.00000	0	0.00000	0	0.00000
Phyllobacterium zundukense	1867719	S	40	0.00000	23	0.00000	19	0.00000	0	0.00000	0	0.00000	48	0.00000
Phyllobacterium pellucidum	2740464	S	12	0.00000	0	0.00000	0	0.00000	49	0.00000	0	0.00000	0	0.00000
Nitratireductor mangrovi	2599600	S	101	0.00001	0	0.00000	25	0.00000	15	0.00000	0	0.00000	0	0.00000
Nitratireductor thuwali	2267699	S	41	0.00000	0	0.00000	96	0.00001	0	0.00000	0	0.00000	0	0.00000
Devosia algicola	3026418	S	259	0.00002	0	0.00000	174	0.00001	0	0.00000	0	0.00000	0	0.00000
Devosia sp. XK-2	3126689	S	160	0.00001	0	0.00000	38	0.00000	0	0.00000	0	0.00000	15	0.00000
Devosia sp. CN2-171	3400909	S	16	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000
Devosia sp. SD17-2	2976459	S	13	0.00000	53	0.00000	13	0.00000	73	0.00000	0	0.00000	0	0.00000
Devosia rhizoryzae	2774137	S	99	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Devosia neptuniae	191302	S	90	0.00001	0	0.00000	54	0.00000	0	0.00000	0	0.00000	0	0.00000
Devosia polycyclovorans	3345148	S	24	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Devosia rhodophyticola	3026423	S	17	0.00000	0	0.00000	32	0.00000	0	0.00000	0	0.00000	0	0.00000
Devosia rhizosphaerae	3049774	S	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pelagibacterium halotolerans	531813	S	50	0.00000	0	0.00000	23	0.00000	33	0.00000	0	0.00000	0	0.00000
Mariluticola halotolerans	2909283	S	13	0.00000	0	0.00000	26	0.00000	0	0.00000	0	0.00000	13	0.00000
Methylobacterium brachiatum	269660	S	70	0.00000	0	0.00000	56	0.00000	37	0.00000	0	0.00000	0	0.00000
Methylobacterium nodulans	114616	S	38	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylobacterium durans	2202825	S	38	0.00000	0	0.00000	22	0.00000	20	0.00000	0	0.00000	0	0.00000
Methylobacterium tardum	374432	S	57	0.00000	0	0.00000	23	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylobacterium flocculans	2984843	S	17	0.00000	0	0.00000	13	0.00000	15	0.00000	0	0.00000	92	0.00000
Microvirga sp. VF16	2807101	S	92	0.00001	0	0.00000	33	0.00000	0	0.00000	0	0.00000	0	0.00000
Microvirga thermotolerans	2651334	S	53	0.00000	0	0.00000	22	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylorubrum populi	223967	S	61	0.00000	0	0.00000	34	0.00000	0	0.00000	0	0.00000	20	0.00000
Methylorubrum extorquens	408	S	35	0.00000	479	0.00002	48	0.00000	0	0.00000	41	0.00000	19	0.00000
Roseibium sp.	1936156	S	263	0.00002	116	0.00000	184	0.00001	132	0.00000	115	0.00001	45	0.00000
Roseibium sp. Sym1	3016006	S	29	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Roseibium album	311410	S	23	0.00000	0	0.00000	13	0.00000	0	0.00000	11	0.00000	0	0.00000
Stappia sp.	1870903	S	116	0.00001	0	0.00000	213	0.00001	0	0.00000	35	0.00000	168	0.00001
Pannonibacter phragmitetus	121719	S	118	0.00001	0	0.00000	0	0.00000	0	0.00000	113	0.00001	177	0.00001
Aureimonas mangrovi	2758041	S	205	0.00001	0	0.00000	57	0.00000	0	0.00000	0	0.00000	55	0.00000
Aureimonas sp. AU20	1349819	S	72	0.00000	0	0.00000	14	0.00000	19	0.00000	0	0.00000	0	0.00000
Martelella mediterranea	293089	S	143	0.00001	0	0.00000	62	0.00000	71	0.00000	0	0.00000	0	0.00000
Martelella endophytica	1486262	S	45	0.00000	0	0.00000	29	0.00000	30	0.00000	0	0.00000	0	0.00000
Martelella sp. AD-3	686597	S	64	0.00000	0	0.00000	41	0.00000	0	0.00000	0	0.00000	34	0.00000
Martelella lutilitoris	2583532	S	30	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aurantimonas sp. HBX-1	2906072	S	30	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ancylobacter sp.	1872567	S	68	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	17	0.00000
Ancylobacter sp. TS-1	1850374	S	36	0.00000	0	0.00000	31	0.00000	0	0.00000	0	0.00000	14	0.00000
Ancylobacter pratisalsi	1745854	S	27	0.00000	0	0.00000	19	0.00000	12	0.00000	0	0.00000	0	0.00000
Ancylobacter polymorphus	223390	S	32	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Labrys sp. KNU-23	2789216	S	55	0.00000	0	0.00000	35	0.00000	0	0.00000	0	0.00000	0	0.00000
Xanthobacter dioxanivorans	2528964	S	33	0.00000	0	0.00000	25	0.00000	0	0.00000	48	0.00000	14	0.00000
Aquabacter sp. L1I39	2820278	S	25	0.00000	0	0.00000	12	0.00000	14	0.00000	81	0.00000	23	0.00000
Azorhizobium caulinodans	7	S	26	0.00000	0	0.00000	36	0.00000	0	0.00000	0	0.00000	0	0.00000
Starkeya sp. ORNL1	2709380	S	24	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	134	0.00001
Bosea sp. PAMC 26642	1792307	S	65	0.00000	216	0.00001	0	0.00000	0	0.00000	65	0.00000	0	0.00000
Bosea sp. 685	3080057	S	56	0.00000	0	0.00000	52	0.00000	83	0.00000	0	0.00000	24	0.00000
Bosea sp. UC22_33	3350165	S	55	0.00000	0	0.00000	31	0.00000	0	0.00000	0	0.00000	0	0.00000
Bosea sp. RAC05	1842539	S	52	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bosea sp. F3-2	2599640	S	33	0.00000	298	0.00001	19	0.00000	0	0.00000	0	0.00000	0	0.00000
Bosea beijingensis	3068632	S	40	0.00000	0	0.00000	85	0.00001	432	0.00002	0	0.00000	0	0.00000
Hyphomicrobium sp. 1Nfss2.1	3413936	S	148	0.00001	0	0.00000	94	0.00001	0	0.00000	0	0.00000	0	0.00000
Hyphomicrobium sp. ghe19	2682968	S	42	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Hyphomicrobium nitrativorans	1427356	S	13	0.00000	0	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000
Rhodomicrobium lacus	2498452	S	13	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000
Methyloceanibacter sp. wino2	2170729	S	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methyloligella sp. GL2	2742204	S	19	0.00000	0	0.00000	11	0.00000	0	0.00000	40	0.00000	0	0.00000
Kaistia sp. 32K	2795690	S	225	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bauldia sp.	2575872	S	68	0.00000	0	0.00000	0	0.00000	10	0.00000	32	0.00000	0	0.00000
Methylosinus sp. C49	2699395	S	143	0.00001	0	0.00000	103	0.00001	258	0.00001	0	0.00000	0	0.00000
Methylocystis sp. SC2	187303	S	34	0.00000	0	0.00000	27	0.00000	0	0.00000	0	0.00000	0	0.00000
