"species","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Eubacterium ramulus",1518.46754041067,0.980186640278227,0.942476085845346,0.109775976934344,0.506449585365637
"Streptococcus agalactiae",846.017487572066,0.872768988090884,1.2611541438582,0.110498091352503,0.506449585365637
"Enterococcus faecalis",422.56944857397,0.956444958615316,1.19346678148797,0.107038561624778,0.506449585365637
"Streptococcus phage Dp-1",7.79608455755482,0.248463116661505,1.06290225412562,0.109537895821136,0.506449585365637
"Streptococcus alactolyticus",9.61305840300345,0.224887776160447,1.05525636630907,0.108280381914073,0.506449585365637
"Bacteroides faecis",18761.3117427764,0.960632173442283,1.18894415032862,0.114305807122813,0.508025809434726
"Barnesiella viscericola",3744.06450046475,-0.93215865631134,1.06410692859942,0.114290218242303,0.508025809434726
"Clostridium sp. HCS.1",44.8202775780131,0.514801069667455,1.17107802987878,0.112818222134718,0.508025809434726
"Parabacteroides chongii",1352.12987956103,0.928988978974907,1.13115066708198,0.119287703248541,0.518074606197235
"Prevotella bivia",2898.21609921693,-0.627857669296789,1.20183573666603,0.122596112801251,0.518074606197235
"Paraprevotella xylaniphila",34068.3389127183,-0.583628510664328,1.18525130065834,0.121642720062547,0.518074606197235
"Faecalibacterium wellingii",26445.8420771848,-0.850098957024944,1.15040442146704,0.119204604181261,0.518074606197235
"Clostridium cadaveris",352.923734095987,-0.891403942741091,1.12002562311816,0.121870092655973,0.518074606197235
"Streptococcus zhangguiae",8.02240845142734,0.223584651785024,1.05457000719169,0.12377543455161,0.518074606197235
"Enterococcus gilvus",4.64541343735578,-0.215660931269374,1.05276922765818,0.125263984233043,0.518074606197235
"Enterococcus wangshanyuanii",4.64394719580906,-0.215574918337447,1.05271374611271,0.125986324688873,0.518074606197235
"Porphyromonas levii",294.384666029107,0.85585617913388,1.16803078250763,0.129501563467545,0.526471764402532
"Streptococcus canis",5.89796374085189,0.251894260396543,1.06349351074012,0.130421414363354,0.526471764402532
