"species","rab.all","rab.win.Omnivore","rab.win.Vegan","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"Barnesiella intestinihominis",13.1268333311009,11.0649114143317,14.0915377691034,3.02469863144049,4.83015393981289,0.618248579389833,0.233161456450763,0.383066374545931,1,0.399999999999999,1
"Barnesiella sp. An22",10.597128714223,11.601938990789,9.63264626358349,-1.95554743020173,3.15316731013049,-0.481441102363239,0.338542074137571,0.441295350559441,1,0.398437499999999,0.999263733842538
"Barnesiella viscericola",8.3728614136878,11.2567708037994,8.25529697780592,-2.98958751130326,1.33397275856968,-1.10809505924634,0.217617507910972,0.169187688602383,1,0.19375,0.91874819715302
"Coprobacter secundus",7.66916930028031,6.07588991123548,7.96863635239781,1.88252788504334,1.56604682276954,0.525502502229606,0.333333757183061,0.636302939064219,1,0.700000000000002,1
"Coprobacter fastidiosus",6.89300517163037,6.18761337562196,7.20599232758157,1.19927318392899,3.19918935577463,0.44475798445921,0.227980139005357,0.422584985550047,1,0.399999999999999,1
"Prevotella sp. oral taxon 475",6.66430733076014,8.37733634751476,6.17311100504313,-2.21729287506701,2.45830101873023,-0.579305122975001,0.322917124382044,0.460583949631251,1,0.382812499999999,0.992969644655751
"Prevotella sp. E13-17",6.62567282579735,8.98937573637522,5.61516973103557,-3.38770944468427,3.15186834599905,-0.573082859743926,0.333333757183061,0.57595479635761,1,0.399999999999999,1
"Prevotella sp. Rep29",7.70815784753532,8.76349552718288,6.59754414773803,-1.71181780656001,2.67923052635881,-0.546234949110336,0.341969304696059,0.391754526784464,1,0.392187499999999,0.996586921450025
"Prevotella sp. E2-28",8.09464029772225,9.43787278013386,6.70399021412817,-0.60209310635497,5.03991886203134,-0.138855597247625,0.4455959780921,0.846228484313312,1,0.700000000000002,1
"Prevotella sp. E15-22",7.70136689201452,9.1894812677841,6.12214058367656,-1.67874629130563,4.47641763159472,-0.174530030652349,0.430051973081517,0.83953583074379,1,0.669531250000002,1
"Prevotella sp. oral taxon 299",6.35987177713113,7.11656340375995,5.74865283972003,0.542628616408946,3.29427421042245,0.154875654382002,0.437500143526281,0.960595056308776,1,1,1
"Prevotella sp. E9-3",7.46395629991266,10.1377731866729,4.9803826392735,-2.77978799508043,3.36482523965831,-1.49125142563661,0.125001937486737,0.143136515776475,1,0.0999999999999998,0.917849456424015
"Prevotella dentalis",8.37345621256799,10.8807462805781,7.3101573221872,-3.03871784744248,2.84069266691043,-0.888787018448387,0.229167533102453,0.305652869520873,1,0.209375,0.92240929192754
"Prevotella denticola",8.83725994856838,10.3964699978389,8.02694518743812,-2.38244240126849,3.03331900685939,-0.823488391250902,0.223959230903001,0.289101319616546,1,0.2,0.918840210596246
"Prevotella communis",9.15312976411655,10.1835551817041,8.12312213019118,-0.232295776730209,4.12214261935321,-0.0866193079485296,0.336787973446622,0.719223242269699,1,0.430468749999999,1
"Prevotella melaninogenica",9.6080628766438,10.5607077672475,8.65333596438804,-1.40388510300273,2.75446753548482,-0.409436702758087,0.341969304696059,0.5179276138177,1,0.399999999999999,1
"Prevotella corporis",8.51826742819366,10.4882490218872,7.83196127291516,-2.11002257825753,3.46384858790602,-0.748579894413365,0.207254882531613,0.301626332271643,1,0.2,0.918840210596246
"Prevotella herbatica",7.95482176137929,8.70153566007935,7.29332959455145,0.109232118183204,3.64794297813273,0.0315943684092712,0.44791678569462,0.903406251636604,1,0.9859375,1
"Prevotella intermedia",9.69244872759743,11.2073716367283,7.84379812024062,-2.5039208205651,2.32395052452159,-1.19684463808628,0.104169063671829,0.120199839132246,1,0.0999999999999998,0.917849456424015
"Prevotella nigrescens",8.50782687120592,8.76797005696522,8.25813172628297,-0.171046525157442,1.48262396241411,-0.111290749118708,0.364583663678488,0.811428607147587,1,0.50078125,1
"Prevotella jejuni",8.0677562377712,8.20382400547574,7.80417185523113,-0.414236911636817,1.6813953802609,-0.401955478536663,0.331606642538848,0.663827956888135,1,0.401562499999999,0.998491948325633
"Prevotella veroralis",7.45358439572974,8.06206167883861,6.83864014647268,0.64488942237753,6.27689176372825,0.0791477734566413,0.44791678569462,0.64484964110578,1,1,1
"Prevotella fusca",8.10434356875841,9.2441303245863,6.7877958997457,-0.618848102179513,2.57826702519478,-0.238605378981483,0.430051973081517,0.502006381738235,1,0.589843750000001,0.996818572364325
"Prevotella multiformis",7.07516386517948,9.68678231429148,6.43959466347161,-3.19551946183371,2.8959279000613,-0.985535547313582,0.22279882279503,0.230608014699096,1,0.1921875,0.918830975384853
"Prevotella histicola",6.05988118206902,8.89350741548611,5.18536137626688,-2.07204934502028,3.57595516393785,-0.333314990076519,0.333333757183061,0.902918143783094,1,0.399999999999999,1
"Prevotella bivia",6.91304833764331,10.6620823534545,3.31936485675607,-1.15708747149094,6.44110671585456,-1.05171133647786,0.139898046804075,0.401993532270373,1,0.14140625,0.924302741994343
"Prevotella scopos",6.01499110329891,7.60185482958931,4.36723933233804,0.316627577617535,7.64846089369805,0.039154395683546,0.440414642995582,0.792131246563484,1,0.99765625,1
"Segatella copri",19.6118899748572,21.8120639888029,11.2330899103342,-6.66375797655421,5.09654726379133,-0.843505807361856,0.333333757183061,0.342790967687382,1,0.399999999999999,1
"Segatella hominis",13.4647689866518,13.7098968216369,8.12800562962498,-5.57207800525452,5.3751439785599,-1.0134820346516,0.234375836542746,0.257852471146736,1,0.2,0.918840210596246
"Segatella oris",7.64895712897992,9.26395822712992,5.96985179099315,-0.579435936111686,5.28829672998545,-0.182063196768443,0.442708464566388,0.80454064680867,1,0.700000000000002,1
"Segatella baroniae",8.80332882443163,11.0181163469788,6.54115681679745,1.57311668424625,8.39516563010058,0.135344278502341,0.442708464566388,0.780155061475355,1,1,1
"Segatella bryantii",7.39783380178047,10.4280938123825,4.20663331902446,1.19595168430626,9.11396077697682,0.101947616885862,0.450777313270224,0.903157744300579,1,1,1
"Hoylesella enoeca",8.4526792671382,9.99419932888812,8.41400313324778,-1.5991604512822,2.01470420252554,-0.845235507842591,0.213542630602218,0.196575400162028,1,0.2,0.918840210596246
"Hoylesella buccalis",11.1001790593515,10.6337828444648,11.5257773864909,0.897589817851231,3.35322569604815,0.382467276560051,0.322917124382044,0.617649780865834,1,0.700000000000002,1
"Paraprevotella xylaniphila",8.33945979073566,8.15778531190828,8.6214224630546,-0.326081193436758,3.2285979873261,-0.0494556018403454,0.442708464566388,0.588045679751421,1,0.700000000000002,1
"Paraprevotella clara",10.4698798470958,10.3386584979828,10.6202524801401,-2.31817458965249,4.30086287214466,-0.348270071318381,0.440414642995582,0.41065065940414,1,0.700000000000002,1
